timestamp,liquidity_usd,price_usd
0,100000.00,0.5
5,100000.00,0.5
10,100000.00,0.5
15,100000.00,0.5
20,100000.00,0.5
25,100000.00,0.5
30,100000.00,0.5
35,100000.00,0.5
40,100000.00,0.5
45,100000.00,0.5
50,100000.00,0.5
55,100000.00,0.5
60,100000.00,0.5
65,100000.00,0.5
70,100000.00,0.5
75,100000.00,0.5
80,100000.00,0.5
85,100000.00,0.5
90,100000.00,0.5
95,100000.00,0.5
100,100000.00,0.5
105,100000.00,0.5
110,100000.00,0.5
115,100000.00,0.5
120,100000.00,0.5
125,100000.00,0.5
130,100000.00,0.5
135,100000.00,0.5
140,100000.00,0.5
145,100000.00,0.5
150,100000.00,0.5
155,100000.00,0.5
160,100000.00,0.5
165,100000.00,0.5
170,100000.00,0.5
175,100000.00,0.5
180,100000.00,0.5
185,100000.00,0.5
190,100000.00,0.5
195,100000.00,0.5
200,100000.00,0.5
205,100000.00,0.5
210,100000.00,0.5
215,100000.00,0.5
220,100000.00,0.5
225,100000.00,0.5
230,100000.00,0.5
235,100000.00,0.5
240,100000.00,0.5
245,100000.00,0.5
250,100000.00,0.5
255,100000.00,0.5
260,100000.00,0.5
265,100000.00,0.5
270,100000.00,0.5
275,100000.00,0.5
280,100000.00,0.5
285,100000.00,0.5
290,100000.00,0.5
295,100000.00,0.5
300,10000.00,0.05
305,10000.00,0.05
310,10000.00,0.05
315,10000.00,0.05
320,10000.00,0.05
325,10000.00,0.05
330,10000.00,0.05
335,10000.00,0.05
340,10000.00,0.05
345,10000.00,0.05
350,10000.00,0.05
355,10000.00,0.05
360,10000.00,0.05
365,10000.00,0.05
370,10000.00,0.05
375,10000.00,0.05
380,10000.00,0.05
385,10000.00,0.05
390,10000.00,0.05
395,10000.00,0.05
400,10000.00,0.05
405,10000.00,0.05
410,10000.00,0.05
415,10000.00,0.05
420,10000.00,0.05
425,10000.00,0.05
430,10000.00,0.05
435,10000.00,0.05
440,10000.00,0.05
445,10000.00,0.05
450,10000.00,0.05
455,10000.00,0.05
460,10000.00,0.05
465,10000.00,0.05
470,10000.00,0.05
475,10000.00,0.05
480,10000.00,0.05
485,10000.00,0.05
490,10000.00,0.05
495,10000.00,0.05
500,10000.00,0.05
505,10000.00,0.05
510,10000.00,0.05
515,10000.00,0.05
520,10000.00,0.05
525,10000.00,0.05
530,10000.00,0.05
535,10000.00,0.05
540,10000.00,0.05
545,10000.00,0.05
550,10000.00,0.05
555,10000.00,0.05
560,10000.00,0.05
565,10000.00,0.05
570,10000.00,0.05
575,10000.00,0.05
580,10000.00,0.05
585,10000.00,0.05
590,10000.00,0.05
595,10000.00,0.05
600,10000.00,0.05
605,10000.00,0.05
610,10000.00,0.05
615,10000.00,0.05
620,10000.00,0.05
625,10000.00,0.05
630,10000.00,0.05
635,10000.00,0.05
640,10000.00,0.05
645,10000.00,0.05
650,10000.00,0.05
655,10000.00,0.05
660,10000.00,0.05
665,10000.00,0.05
670,10000.00,0.05
675,10000.00,0.05
680,10000.00,0.05
685,10000.00,0.05
690,10000.00,0.05
695,10000.00,0.05
700,10000.00,0.05
705,10000.00,0.05
710,10000.00,0.05
715,10000.00,0.05
720,10000.00,0.05
725,10000.00,0.05
730,10000.00,0.05
735,10000.00,0.05
740,10000.00,0.05
745,10000.00,0.05
750,10000.00,0.05
755,10000.00,0.05
760,10000.00,0.05
765,10000.00,0.05
770,10000.00,0.05
775,10000.00,0.05
780,10000.00,0.05
785,10000.00,0.05
790,10000.00,0.05
795,10000.00,0.05
800,10000.00,0.05
805,10000.00,0.05
810,10000.00,0.05
815,10000.00,0.05
820,10000.00,0.05
825,10000.00,0.05
830,10000.00,0.05
835,10000.00,0.05
840,10000.00,0.05
845,10000.00,0.05
850,10000.00,0.05
855,10000.00,0.05
860,10000.00,0.05
865,10000.00,0.05
870,10000.00,0.05
875,10000.00,0.05
880,10000.00,0.05
885,10000.00,0.05
890,10000.00,0.05
895,10000.00,0.05
